person_id,age_band,gender,region,education,digital_engagement_score,wellbeing_0_10,service_support_0_10,response_propensity,responded,invited,weight
P11369,25-34,Woman,London,Degree,66.6,5.5,7.3,0.2647,1,1,0.5892465987076719
P11389,55-64,Man,North,Degree,70.2,8.7,7.1,0.3605,1,1,0.8381734213821421
P11430,25-34,Man,Midlands,No degree,94.0,7.0,6.4,0.3049,1,1,1.0344220533467472
P11514,45-54,Woman,Midlands,No degree,59.7,5.1,4.6,0.1244,1,1,1.4136250116619258
P11567,55-64,Man,Midlands,No degree,59.1,7.2,6.5,0.1639,1,1,1.5007291803873264
P11617,25-34,Woman,Midlands,Degree,65.9,5.7,7.0,0.2393,1,1,0.6929867282321883
P11640,55-64,Woman,Scotland/Wales,Degree,62.0,7.4,9.9,0.2733,1,1,1.056434156336229
P11674,35-44,Man,South,No degree,68.0,8.6,9.1,0.2329,1,1,1.1000558849386992
P11797,18-24,Woman,London,Degree,100.0,5.6,8.7,0.4492,1,1,0.5970708691316284
P11848,25-34,Woman,Midlands,No degree,66.5,3.6,5.7,0.1163,1,1,1.0344220533467472
P11849,45-54,Woman,South,No degree,59.8,7.1,9.1,0.164,1,1,1.252310521327989
P11929,25-34,Woman,South,No degree,88.2,6.5,5.6,0.2605,1,1,0.9163799524011521
P11943,55-64,Woman,Midlands,No degree,44.1,6.3,6.3,0.1059,1,1,1.5007291803873264
P11973,55-64,Woman,Scotland/Wales,No degree,53.3,7.9,10.0,0.1602,1,1,1.5769404300291507
P12067,35-44,Woman,North,Degree,71.3,8.3,8.0,0.3519,1,1,0.6935351836258383
P12072,18-24,Man,North,No degree,73.0,4.9,6.8,0.1592,1,1,0.873838109125281
P12156,55-64,Man,South,Degree,85.5,4.8,3.6,0.3036,1,1,0.89065043049051
P12183,25-34,Man,North,No degree,67.9,6.2,2.8,0.171,1,1,0.8623869631624932
P12196,25-34,Woman,Scotland/Wales,No degree,63.5,7.3,6.2,0.1812,1,1,1.0869529152590018
P12221,35-44,Man,South,No degree,79.7,5.2,5.9,0.1892,1,1,1.1000558849386992
P12241,18-24,Man,South,Degree,66.1,2.8,5.4,0.1658,1,1,0.6220589231931138
P12285,55-64,Woman,North,No degree,46.8,5.1,8.1,0.0944,1,1,1.2511423903002707
P12366,45-54,Woman,South,No degree,63.8,7.1,6.5,0.1776,1,1,1.252310521327989
P12380,25-34,Man,South,No degree,73.8,4.9,6.7,0.1618,1,1,0.9163799524011521
P12417,25-34,Woman,South,Degree,64.9,7.1,5.0,0.2776,1,1,0.6139071986888239
P12418,45-54,Woman,South,No degree,88.4,6.0,6.7,0.2463,1,1,1.252310521327989
P12517,35-44,Man,London,Degree,63.8,6.6,6.2,0.2864,1,1,0.7073530874284455
P12584,65-74,Woman,South,No degree,45.9,6.9,6.9,0.0916,1,1,2.411986885348764
P12616,18-24,Woman,London,No degree,88.4,4.7,4.8,0.2357,1,1,0.8912483447067236
P12742,25-34,Man,North,No degree,84.5,4.3,7.7,0.1848,1,1,0.8623869631624932
P12753,18-24,Woman,Midlands,No degree,71.0,6.8,4.8,0.1965,1,1,1.0481575554194622
P12816,25-34,Man,London,No degree,100.0,7.3,6.4,0.3818,1,1,0.8795690476175343
P12926,55-64,Man,North,No degree,51.0,7.7,6.0,0.1488,1,1,1.2511423903002707
P12928,25-34,Man,Midlands,Degree,76.8,5.6,5.4,0.2868,1,1,0.6929867282321883
P12960,25-34,Woman,Scotland/Wales,No degree,58.5,4.0,6.2,0.1038,1,1,1.0869529152590018
P12988,65-74,Woman,South,Degree,16.5,6.7,5.7,0.0771,1,1,1.615853891367582
P13032,18-24,Woman,North,Degree,51.5,7.4,6.0,0.2262,1,1,0.5854072912387358
P13108,18-24,Woman,North,Degree,80.6,4.9,5.9,0.2826,1,1,0.5854072912387358
P13135,25-34,Man,South,Degree,80.8,6.5,6.4,0.3383,1,1,0.6139071986888239
P13142,45-54,Woman,South,Degree,91.6,6.8,6.9,0.4101,1,1,0.838955983293333
P13151,18-24,Woman,North,Degree,82.5,5.1,7.3,0.2986,1,1,0.5854072912387358
P13172,18-24,Man,North,Degree,84.3,5.4,8.5,0.318,1,1,0.5854072912387358
P13183,45-54,Woman,Scotland/Wales,Degree,51.8,9.8,8.7,0.3018,1,1,0.9951174176445505
P13356,18-24,Man,London,Degree,69.9,8.1,4.5,0.3714,1,1,0.5970708691316284
P13428,25-34,Woman,Scotland/Wales,No degree,71.7,3.4,7.8,0.1262,1,1,1.0869529152590018
P13484,45-54,Woman,Midlands,Degree,49.8,7.1,9.0,0.211,1,1,0.94702483247465
P13565,25-34,Man,South,No degree,67.0,6.6,5.2,0.1771,1,1,0.9163799524011521
P13582,25-34,Woman,London,Degree,71.2,4.4,7.0,0.2521,1,1,0.5892465987076719
P13681,25-34,Woman,Midlands,Degree,77.1,7.7,7.4,0.3618,1,1,0.6929867282321883
P13717,25-34,Man,South,No degree,77.7,7.4,6.8,0.2403,1,1,0.9163799524011521
P13719,55-64,Woman,Midlands,Degree,40.4,4.5,5.4,0.1234,1,1,1.005378221891577
P13738,45-54,Man,South,Degree,50.2,6.1,10.0,0.1871,1,1,0.838955983293333
P13764,35-44,Non-binary / other,North,Degree,53.1,6.1,5.5,0.1979,1,1,0.6935351836258383
P13827,35-44,Woman,North,No degree,70.8,6.8,5.6,0.1958,1,1,1.0352407333175977
P13836,18-24,Woman,Midlands,No degree,71.4,6.7,7.5,0.1955,1,1,1.0481575554194622
P13838,35-44,Woman,North,Degree,70.1,7.3,8.0,0.3101,1,1,0.6935351836258383
P13924,25-34,Man,North,No degree,81.2,8.7,9.8,0.2975,1,1,0.8623869631624932
P13932,25-34,Woman,North,No degree,47.0,6.0,6.6,0.1079,1,1,0.8623869631624932
P13937,25-34,Woman,Scotland/Wales,Degree,69.8,3.1,8.5,0.1856,1,1,0.7281785438068972
P13950,35-44,Woman,London,No degree,69.8,4.9,9.6,0.1693,1,1,1.055866733559916
P14123,25-34,Woman,London,Degree,93.4,5.0,9.7,0.3874,1,1,0.5892465987076719
P14158,18-24,Man,London,Degree,92.7,7.8,9.8,0.4932,1,1,0.5970708691316284
P14159,65-74,Woman,South,Degree,51.1,8.4,4.9,0.2011,1,1,1.615853891367582
P14190,18-24,Man,North,No degree,94.0,6.4,7.3,0.285,1,1,0.873838109125281
P14199,55-64,Woman,North,Degree,61.8,8.1,7.3,0.2951,1,1,0.8381734213821421
P14271,18-24,Woman,London,Degree,100.0,5.3,8.4,0.4373,1,1,0.5970708691316284
P14305,55-64,Man,Midlands,Degree,75.5,7.7,7.5,0.353,1,1,1.005378221891577
P14313,45-54,Man,North,Degree,48.3,6.2,3.4,0.1826,1,1,0.7895248043822556
P14327,35-44,Man,South,Degree,75.3,4.3,8.4,0.2396,1,1,0.7369565702024881
P14383,35-44,Woman,Scotland/Wales,No degree,66.3,4.8,7.0,0.137,1,1,1.3048178847091474
P14430,45-54,Man,South,Degree,59.7,7.3,6.4,0.2594,1,1,0.838955983293333
P14469,55-64,Man,South,No degree,37.8,6.1,6.0,0.0897,1,1,1.3294748796595566
P14480,45-54,Man,North,Degree,56.9,6.6,7.6,0.2265,1,1,0.7895248043822556
P14559,25-34,Man,London,Degree,93.7,5.1,8.7,0.3929,1,1,0.5892465987076719
P14593,65-74,Woman,North,Degree,49.5,4.9,5.6,0.1215,1,1,1.5206479873762824
P14615,18-24,Woman,Midlands,Degree,59.3,5.8,6.3,0.2144,1,1,0.7021885048292753
P14657,55-64,Woman,North,No degree,90.0,4.1,5.6,0.2004,1,1,1.2511423903002707
P14715,25-34,Man,London,Degree,81.4,5.6,7.5,0.3429,1,1,0.5892465987076719
P14739,45-54,Man,South,Degree,74.8,6.9,6.6,0.3206,1,1,0.838955983293333
P14805,25-34,Woman,North,Degree,55.2,5.0,5.0,0.1787,1,1,0.577735865296503
P14842,55-64,Man,South,No degree,69.9,6.6,5.9,0.1875,1,1,1.3294748796595566
P14843,25-34,Man,North,Degree,100.0,6.7,5.2,0.4556,1,1,0.577735865296503
P14856,55-64,Man,Scotland/Wales,No degree,71.4,8.2,4.6,0.2361,1,1,1.5769404300291507
P14900,35-44,Man,Midlands,Degree,71.9,5.7,7.5,0.2665,1,1,0.8318865188819854
P14938,18-24,Man,Scotland/Wales,No degree,54.4,6.0,6.8,0.1263,1,1,1.1013859447677783
P14941,55-64,Woman,North,Degree,61.9,7.4,7.6,0.2728,1,1,0.8381734213821421
P14952,55-64,Man,North,Degree,41.7,7.0,6.5,0.1781,1,1,0.8381734213821421
P15048,45-54,Woman,Midlands,Degree,93.5,9.3,9.0,0.5205,1,1,0.94702483247465
P15087,35-44,Woman,South,No degree,62.1,5.3,3.2,0.1345,1,1,1.1000558849386992
P15139,65-74,Woman,South,Degree,52.1,5.7,6.7,0.1434,1,1,1.615853891367582
P15238,25-34,Woman,Midlands,Degree,73.7,6.9,6.2,0.3149,1,1,0.6929867282321883
P15298,25-34,Woman,North,Degree,51.7,6.1,5.2,0.1926,1,1,0.577735865296503
P15331,35-44,Man,Scotland/Wales,Degree,73.2,6.3,9.4,0.2921,1,1,0.8741320565797465
P15382,35-44,Woman,Scotland/Wales,No degree,62.3,7.6,7.0,0.1841,1,1,1.3048178847091474
P15412,25-34,Man,Midlands,Degree,98.0,4.6,6.5,0.3631,1,1,0.6929867282321883
P15436,35-44,Man,Midlands,Degree,74.8,3.1,7.7,0.2044,1,1,0.8318865188819854
P15491,65-74,Woman,North,No degree,32.7,6.3,5.9,0.0625,1,1,2.2698729274831586
P15498,25-34,Woman,North,No degree,78.2,3.8,5.3,0.1525,1,1,0.8623869631624932
P15526,25-34,Man,North,No degree,62.7,7.9,7.5,0.1929,1,1,0.8623869631624932
P15566,45-54,Woman,North,Degree,80.9,7.8,5.0,0.3869,1,1,0.7895248043822556
P15592,18-24,Man,Midlands,No degree,77.7,6.5,6.6,0.215,1,1,1.0481575554194622
P15596,45-54,Man,Midlands,Degree,69.8,1.7,3.2,0.1541,1,1,0.94702483247465
P15600,25-34,Man,North,Degree,70.1,8.0,6.8,0.3346,1,1,0.577735865296503
P15601,18-24,Woman,Midlands,No degree,73.3,5.9,5.5,0.1829,1,1,1.0481575554194622
P15614,65-74,Man,Midlands,Degree,52.8,7.4,8.0,0.1826,1,1,1.8239976724033413
P15690,25-34,Man,London,Degree,88.0,5.5,7.7,0.3757,1,1,0.5892465987076719
P15710,55-64,Man,London,No degree,46.1,6.0,5.5,0.1209,1,1,1.2760699867664655
P15713,35-44,Woman,London,Degree,80.8,6.6,10.0,0.3764,1,1,0.7073530874284455
P15742,55-64,Woman,Scotland/Wales,Degree,45.6,5.3,10.0,0.1535,1,1,1.056434156336229
P15774,55-64,Woman,London,Degree,55.3,9.4,5.7,0.3388,1,1,0.8548730784146957
P15811,35-44,Woman,North,No degree,78.9,4.6,3.6,0.1722,1,1,1.0352407333175977
P15867,55-64,Man,North,Degree,62.2,7.8,7.0,0.2872,1,1,0.8381734213821421
P15876,45-54,Man,Midlands,Degree,53.4,5.6,5.8,0.1866,1,1,0.94702483247465
P15880,35-44,Non-binary / other,London,Degree,64.9,7.3,6.7,0.3155,1,1,0.7073530874284455
P15931,25-34,Woman,Midlands,Degree,100.0,5.7,7.5,0.4163,1,1,0.6929867282321883
P15968,45-54,Woman,Scotland/Wales,No degree,70.8,5.0,6.7,0.1544,1,1,1.4854128665738215
P15972,55-64,Man,North,No degree,74.3,5.9,4.1,0.1865,1,1,1.2511423903002707
P15990,35-44,Man,Scotland/Wales,Degree,81.6,9.2,7.9,0.4453,1,1,0.8741320565797465
P16016,35-44,Woman,North,Degree,60.2,6.2,6.9,0.2291,1,1,0.6935351836258383
P16017,55-64,Woman,South,No degree,54.2,8.9,8.3,0.1862,1,1,1.3294748796595566
P16034,18-24,Man,North,No degree,93.3,7.5,9.0,0.3185,1,1,0.873838109125281
P16059,18-24,Woman,South,Degree,82.1,6.7,6.3,0.3526,1,1,0.6220589231931138
P16085,35-44,Man,South,No degree,73.6,5.1,8.5,0.1655,1,1,1.1000558849386992
P16092,35-44,Woman,Scotland/Wales,Degree,85.2,6.0,7.3,0.3441,1,1,0.8741320565797465
P16097,25-34,Woman,Scotland/Wales,Degree,76.8,4.5,5.2,0.2522,1,1,0.7281785438068972
P16142,25-34,Man,London,No degree,99.0,5.5,8.0,0.3113,1,1,0.8795690476175343
P16151,65-74,Man,South,No degree,32.2,7.0,5.5,0.0687,1,1,2.411986885348764
P16159,55-64,Woman,London,Degree,53.6,7.7,5.8,0.2726,1,1,0.8548730784146957
P16229,25-34,Woman,Midlands,No degree,84.3,8.1,7.5,0.293,1,1,1.0344220533467472
P16267,35-44,Woman,North,No degree,83.7,4.4,6.9,0.1843,1,1,1.0352407333175977
P16339,35-44,Woman,North,Degree,74.1,6.8,8.5,0.3135,1,1,0.6935351836258383
P16381,35-44,Woman,South,Degree,63.5,7.9,7.2,0.2969,1,1,0.7369565702024881
P16390,55-64,Man,Scotland/Wales,Degree,59.3,6.9,7.9,0.2455,1,1,1.056434156336229
P16434,35-44,Man,London,Degree,74.5,5.4,7.2,0.2999,1,1,0.7073530874284455
P16450,55-64,Man,North,Degree,48.3,6.6,7.6,0.1924,1,1,0.8381734213821421
P16453,25-34,Man,South,Degree,87.9,5.3,5.9,0.3335,1,1,0.6139071986888239
P16535,18-24,Man,South,Degree,100.0,8.5,7.6,0.5275,1,1,0.6220589231931138
P16565,55-64,Man,South,Degree,55.0,4.6,7.1,0.1688,1,1,0.89065043049051
P16648,25-34,Man,Midlands,No degree,58.3,7.5,4.8,0.1679,1,1,1.0344220533467472
P16678,45-54,Woman,Scotland/Wales,No degree,54.8,4.8,6.5,0.1075,1,1,1.4854128665738215
P16917,35-44,Man,North,Degree,70.5,7.2,5.9,0.3087,1,1,0.6935351836258383
P16919,25-34,Man,Midlands,No degree,75.5,8.6,8.3,0.2666,1,1,1.0344220533467472
P16973,35-44,Man,Midlands,No degree,91.9,7.9,7.2,0.3251,1,1,1.2417579240060994
P17028,55-64,Woman,Scotland/Wales,No degree,73.3,7.0,3.7,0.2107,1,1,1.5769404300291507
P17030,35-44,Woman,North,Degree,60.4,6.6,3.3,0.2415,1,1,0.6935351836258383
P17130,65-74,Man,South,Degree,31.2,6.6,6.3,0.1048,1,1,1.615853891367582
P17208,25-34,Man,North,Degree,72.7,5.0,7.0,0.2488,1,1,0.577735865296503
P17281,65-74,Man,South,Degree,55.0,5.6,8.0,0.1501,1,1,1.615853891367582
P17379,45-54,Man,North,Degree,78.5,6.0,7.8,0.3087,1,1,0.7895248043822556
P17460,55-64,Woman,Scotland/Wales,Degree,33.1,8.0,7.3,0.1714,1,1,1.056434156336229
P17563,55-64,Man,Midlands,No degree,52.9,6.2,7.1,0.1258,1,1,1.5007291803873264
P17604,35-44,Woman,Midlands,No degree,84.6,5.5,6.1,0.2159,1,1,1.2417579240060994
P17649,45-54,Woman,North,Degree,66.4,5.2,8.1,0.2272,1,1,0.7895248043822556
P17652,18-24,Woman,Scotland/Wales,Degree,65.8,5.9,7.3,0.2448,1,1,0.7378476125060859
P17689,65-74,Non-binary / other,Midlands,Degree,35.7,3.8,4.0,0.0769,1,1,1.8239976724033413
P17705,25-34,Woman,Midlands,Degree,85.2,3.6,2.7,0.2632,1,1,0.6929867282321883
P17724,55-64,Man,Midlands,No degree,53.9,7.0,5.6,0.1435,1,1,1.5007291803873264
P17732,55-64,Woman,South,Degree,51.6,7.4,6.3,0.2266,1,1,0.89065043049051
P17764,65-74,Non-binary / other,North,No degree,45.8,7.6,7.2,0.1011,1,1,2.2698729274831586
P17901,25-34,Woman,South,No degree,67.6,8.5,5.0,0.2284,1,1,0.9163799524011521
P17933,65-74,Man,Scotland/Wales,Degree,44.3,6.5,10.0,0.1362,1,1,1.9166254054909067
P17943,18-24,Man,South,No degree,73.6,3.0,6.3,0.1242,1,1,0.9285480405571193
P18112,35-44,Woman,South,Degree,77.9,5.9,8.7,0.3023,1,1,0.7369565702024881
P18118,65-74,Man,North,Degree,71.5,8.1,8.9,0.2813,1,1,1.5206479873762824
P18140,55-64,Man,North,No degree,38.9,7.3,6.8,0.1093,1,1,1.2511423903002707
P18204,45-54,Woman,North,Degree,53.9,8.5,7.0,0.2696,1,1,0.7895248043822556
P18221,25-34,Man,South,No degree,92.4,5.2,5.5,0.2404,1,1,0.9163799524011521
P18241,25-34,Man,Midlands,Degree,58.0,6.7,4.3,0.234,1,1,0.6929867282321883
P18352,18-24,Man,Midlands,No degree,100.0,4.0,4.6,0.2387,1,1,1.0481575554194622
P18457,25-34,Man,South,Degree,68.4,6.4,5.7,0.272,1,1,0.6139071986888239
P18462,18-24,Woman,South,No degree,78.1,7.6,6.6,0.2479,1,1,0.9285480405571193
P18488,45-54,Man,London,No degree,55.5,7.2,7.1,0.1728,1,1,1.202005314149092
P18547,25-34,Man,London,Degree,77.6,4.9,10.0,0.2987,1,1,0.5892465987076719
P18581,25-34,Woman,North,No degree,79.1,5.7,5.1,0.1995,1,1,0.8623869631624932
P18590,25-34,Man,North,No degree,67.9,7.9,8.5,0.2131,1,1,0.8623869631624932
P18713,45-54,Man,South,Degree,75.5,6.8,7.1,0.3208,1,1,0.838955983293333
P18754,25-34,Woman,South,Degree,79.7,6.9,8.9,0.3468,1,1,0.6139071986888239
P18758,25-34,Man,South,Degree,61.3,8.3,8.2,0.2993,1,1,0.6139071986888239
P18770,35-44,Woman,North,Degree,62.1,10.0,8.4,0.3636,1,1,0.6935351836258383
P18817,55-64,Man,North,Degree,65.2,6.0,8.5,0.245,1,1,0.8381734213821421
P18834,18-24,Man,North,Degree,81.9,6.2,5.9,0.3335,1,1,0.5854072912387358
P18842,35-44,Man,Midlands,Degree,98.1,7.3,7.9,0.4681,1,1,0.8318865188819854
P18998,45-54,Man,South,No degree,78.8,6.0,5.4,0.2061,1,1,1.252310521327989
P19027,55-64,Man,London,Degree,57.0,9.0,9.6,0.3336,1,1,0.8548730784146957
P19199,25-34,Woman,North,No degree,64.9,5.3,5.3,0.1425,1,1,0.8623869631624932
P19227,25-34,Woman,Midlands,Degree,68.7,6.2,5.2,0.2671,1,1,0.6929867282321883
P19237,35-44,Woman,London,Degree,100.0,4.9,10.0,0.4217,1,1,0.7073530874284455
P19293,18-24,Woman,South,No degree,75.4,5.9,4.3,0.1906,1,1,0.9285480405571193
P19304,55-64,Woman,South,Degree,38.1,5.4,4.6,0.1334,1,1,0.89065043049051
P19351,25-34,Woman,Scotland/Wales,Degree,89.5,6.0,3.6,0.3677,1,1,0.7281785438068972
P19362,35-44,Woman,North,Degree,75.5,5.6,4.9,0.2805,1,1,0.6935351836258383
P19382,35-44,Woman,South,No degree,65.4,5.1,7.4,0.1401,1,1,1.1000558849386992
P19414,25-34,Man,North,Degree,100.0,6.4,7.2,0.4437,1,1,0.577735865296503
P19416,25-34,Man,Scotland/Wales,Degree,78.1,5.6,9.2,0.2933,1,1,0.7281785438068972
P19420,45-54,Woman,North,No degree,39.8,7.6,9.9,0.1162,1,1,1.178524546062652
P19434,45-54,Woman,Midlands,No degree,60.1,7.8,4.5,0.181,1,1,1.4136250116619258
P19458,25-34,Woman,South,Degree,72.3,5.3,2.8,0.256,1,1,0.6139071986888239
P19459,18-24,Man,Scotland/Wales,Degree,89.3,8.0,6.3,0.4435,1,1,0.7378476125060859
P19472,45-54,Man,South,No degree,38.3,5.6,5.9,0.0843,1,1,1.252310521327989
P19513,45-54,Man,South,Degree,64.6,6.0,6.7,0.2424,1,1,0.838955983293333
P19524,18-24,Man,North,No degree,85.4,4.5,4.1,0.193,1,1,0.873838109125281
P19551,35-44,Woman,Midlands,Degree,74.9,8.6,6.7,0.3831,1,1,0.8318865188819854
P19607,25-34,Man,North,No degree,59.7,6.5,5.5,0.1509,1,1,0.8623869631624932
P19608,25-34,Man,Midlands,Degree,55.9,6.2,7.4,0.2114,1,1,0.6929867282321883
P19666,25-34,Woman,North,No degree,77.1,5.8,8.4,0.1944,1,1,0.8623869631624932
P19729,45-54,Man,North,No degree,64.5,6.9,8.3,0.1754,1,1,1.178524546062652
P19731,55-64,Woman,South,Degree,45.3,7.0,8.5,0.1911,1,1,0.89065043049051
P19741,35-44,Man,Midlands,Degree,63.0,6.3,5.7,0.2442,1,1,0.8318865188819854
P19790,25-34,Woman,Midlands,Degree,77.5,6.3,8.1,0.3139,1,1,0.6929867282321883
P19802,25-34,Man,North,No degree,100.0,5.9,7.9,0.2982,1,1,0.8623869631624932
P19806,18-24,Woman,North,No degree,80.6,5.0,5.0,0.1876,1,1,0.873838109125281
P19839,65-74,Woman,South,Degree,37.2,7.3,4.6,0.1313,1,1,1.615853891367582
P19862,35-44,Woman,South,Degree,50.4,7.1,9.3,0.2134,1,1,0.7369565702024881
P19886,45-54,Man,South,No degree,65.0,7.0,5.0,0.1795,1,1,1.252310521327989
P19888,35-44,Woman,Scotland/Wales,Degree,43.0,5.9,5.5,0.1579,1,1,0.8741320565797465
P19918,55-64,Woman,London,Degree,72.4,7.6,7.6,0.3667,1,1,0.8548730784146957
P19924,25-34,Woman,London,No degree,82.8,6.0,6.2,0.2492,1,1,0.8795690476175343
P19998,18-24,Man,Midlands,No degree,81.9,4.9,7.8,0.1899,1,1,1.0481575554194622
P20007,35-44,Man,South,No degree,75.1,6.9,5.7,0.2152,1,1,1.1000558849386992
P20054,45-54,Man,Scotland/Wales,Degree,71.6,7.4,6.6,0.3213,1,1,0.9951174176445505
P20057,18-24,Woman,North,No degree,80.3,7.1,5.4,0.2429,1,1,0.873838109125281
P20150,25-34,Man,Scotland/Wales,Degree,90.8,7.9,9.2,0.4485,1,1,0.7281785438068972
P20287,35-44,Man,South,Degree,73.6,5.0,5.9,0.2528,1,1,0.7369565702024881
P20323,25-34,Woman,South,No degree,72.7,6.6,6.1,0.1979,1,1,0.9163799524011521
P20356,35-44,Man,North,Degree,90.4,4.3,5.0,0.3117,1,1,0.6935351836258383
P20358,18-24,Man,Scotland/Wales,Degree,76.7,6.1,6.5,0.303,1,1,0.7378476125060859
P20368,25-34,Man,London,Degree,89.3,5.2,7.5,0.3717,1,1,0.5892465987076719
P20397,35-44,Man,London,No degree,80.7,6.4,7.8,0.2518,1,1,1.055866733559916
P20447,18-24,Woman,London,No degree,95.5,6.3,9.8,0.3208,1,1,0.8912483447067236
P20501,55-64,Woman,Midlands,No degree,38.5,6.2,5.0,0.0925,1,1,1.5007291803873264
P20637,35-44,Woman,North,No degree,50.6,7.5,5.5,0.1436,1,1,1.0352407333175977
P20802,55-64,Man,North,No degree,50.4,4.4,4.9,0.0923,1,1,1.2511423903002707
P20804,45-54,Man,London,No degree,77.8,6.0,4.6,0.2274,1,1,1.202005314149092
P20868,25-34,Man,South,No degree,72.2,5.2,3.8,0.1631,1,1,0.9163799524011521
P20876,25-34,Man,South,Degree,75.6,7.1,7.3,0.3319,1,1,0.6139071986888239
P20895,35-44,Woman,London,Degree,66.2,5.8,6.5,0.2723,1,1,0.7073530874284455
P20950,25-34,Man,North,No degree,59.6,4.2,5.3,0.1093,1,1,0.8623869631624932
P21056,18-24,Woman,London,No degree,71.3,6.8,5.4,0.2226,1,1,0.8912483447067236
P21148,45-54,Woman,Midlands,No degree,56.8,5.7,5.5,0.1273,1,1,1.4136250116619258
P21186,18-24,Woman,Midlands,Degree,68.0,7.9,9.0,0.32,1,1,0.7021885048292753
P21216,35-44,Woman,London,Degree,64.3,5.1,5.2,0.2422,1,1,0.7073530874284455
P21226,25-34,Woman,North,No degree,79.9,8.0,6.4,0.2685,1,1,0.8623869631624932
P21228,45-54,Man,South,No degree,78.9,7.8,6.0,0.2576,1,1,1.252310521327989
P21240,35-44,Woman,London,No degree,65.4,7.2,3.2,0.2094,1,1,1.055866733559916
P21800,55-64,Woman,South,No degree,45.9,6.1,5.4,0.1069,1,1,1.3294748796595566
P21861,65-74,Woman,Scotland/Wales,Degree,51.0,9.0,8.1,0.2165,1,1,1.9166254054909067
P21967,35-44,Man,South,No degree,75.7,6.1,6.8,0.1967,1,1,1.1000558849386992
P21979,25-34,Woman,North,No degree,69.3,6.9,4.8,0.1927,1,1,0.8623869631624932
P21995,25-34,Man,London,Degree,71.8,4.4,8.0,0.2549,1,1,0.5892465987076719
P22026,55-64,Man,North,No degree,30.6,8.8,7.0,0.1133,1,1,1.2511423903002707
P22057,45-54,Man,South,Degree,65.9,5.2,7.2,0.2251,1,1,0.838955983293333
P22062,65-74,Man,North,No degree,29.6,7.6,7.7,0.0709,1,1,2.2698729274831586
P22068,55-64,Man,Midlands,Degree,53.9,7.0,8.4,0.2251,1,1,1.005378221891577
P22107,18-24,Woman,North,No degree,96.1,6.3,9.3,0.292,1,1,0.873838109125281
P22150,35-44,Man,London,No degree,77.0,6.2,9.9,0.2297,1,1,1.055866733559916
P22192,25-34,Woman,Midlands,No degree,61.0,6.4,6.5,0.1529,1,1,1.0344220533467472
P22200,18-24,Man,London,Degree,80.5,6.3,7.9,0.3635,1,1,0.5970708691316284
P22220,35-44,Man,Scotland/Wales,Degree,69.2,4.5,5.2,0.2194,1,1,0.8741320565797465
P22251,45-54,Non-binary / other,South,Degree,89.9,8.7,8.7,0.4749,1,1,0.838955983293333
P22279,18-24,Woman,Midlands,No degree,79.4,6.2,7.0,0.2138,1,1,1.0481575554194622
P22320,35-44,Woman,North,Degree,86.4,7.7,9.5,0.4147,1,1,0.6935351836258383
P22365,18-24,Woman,London,No degree,100.0,6.4,9.8,0.3484,1,1,0.8912483447067236
P22373,65-74,Man,North,Degree,53.5,8.9,6.2,0.2241,1,1,1.5206479873762824
P22515,18-24,Woman,North,No degree,70.1,4.5,4.1,0.1421,1,1,0.873838109125281
P22568,25-34,Woman,Midlands,Degree,95.3,6.3,8.5,0.4122,1,1,0.6929867282321883
P22573,35-44,Man,South,Degree,38.4,5.4,8.0,0.1342,1,1,0.7369565702024881
P22608,18-24,Woman,South,Degree,79.3,4.9,6.6,0.2763,1,1,0.6220589231931138
P22667,35-44,Woman,Scotland/Wales,Degree,51.8,6.6,9.9,0.2057,1,1,0.8741320565797465
P22707,65-74,Non-binary / other,South,Degree,35.6,6.0,6.2,0.1057,1,1,1.615853891367582
P22913,18-24,Woman,Midlands,No degree,73.3,6.1,5.9,0.1877,1,1,1.0481575554194622
P22952,45-54,Woman,South,No degree,82.9,3.9,6.8,0.1699,1,1,1.252310521327989
P22990,25-34,Woman,South,No degree,58.4,5.3,7.5,0.1245,1,1,0.9163799524011521
P23037,25-34,Man,North,Degree,68.6,6.4,6.5,0.273,1,1,0.577735865296503
P23048,45-54,Woman,London,Degree,73.7,6.2,6.8,0.3232,1,1,0.8052551927667212
P23083,35-44,Woman,Midlands,No degree,72.0,3.5,7.1,0.1288,1,1,1.2417579240060994
P23150,35-44,Man,London,Degree,64.8,4.6,8.8,0.2299,1,1,0.7073530874284455
P23202,18-24,Woman,Midlands,Degree,75.2,4.9,9.0,0.2571,1,1,0.7021885048292753
P23238,45-54,Woman,Midlands,Degree,44.8,7.2,4.5,0.1942,1,1,0.94702483247465
P23243,25-34,Woman,Midlands,No degree,84.4,5.7,5.6,0.2206,1,1,1.0344220533467472
P23249,18-24,Man,London,Degree,84.2,6.1,5.9,0.3768,1,1,0.5970708691316284
P23253,65-74,Man,North,No degree,42.3,8.8,6.4,0.1114,1,1,2.2698729274831586
P23339,45-54,Woman,Scotland/Wales,Degree,64.5,8.9,7.6,0.3367,1,1,0.9951174176445505
P23399,35-44,Woman,London,No degree,88.0,6.4,5.6,0.2862,1,1,1.055866733559916
P23401,25-34,Man,North,No degree,71.8,4.9,6.9,0.1554,1,1,0.8623869631624932
P23425,35-44,Man,North,Degree,57.3,5.6,6.0,0.2012,1,1,0.6935351836258383
P23505,35-44,Man,South,Degree,59.3,6.8,9.7,0.2425,1,1,0.7369565702024881
